File,Line#,Emoji,Context,Category,Action,Notes
slides/week1/lecture.tex,38,💭,tcolorbox title Think about it!,semantic,keep,Used consistently for thought-provoking boxes
slides/week1/lecture.tex,45,💬,tcolorbox title Discussion,semantic,keep,Used consistently for discussion boxes
slides/week1/lecture.tex,51,🤖,subtitle Models of Language and Conversation,semantic,keep,Represents AI/conversational agents concept
slides/week1/lecture.tex,64,🗺️,frame title Today's Journey,decorative,remove,Decorates heading - no semantic value
slides/week1/lecture.tex,70,👋,frame title Welcome!,decorative,remove,Decorates greeting heading
slides/week1/lecture.tex,75,🤖,list item Building conversational agents,semantic,keep,Represents AI concept
slides/week1/lecture.tex,76,🧠,list item Understanding how language relates to thought,semantic,keep,Represents cognition
slides/week1/lecture.tex,77,💻,list item Hands-on programming,semantic,keep,Represents coding
slides/week1/lecture.tex,78,🤔,list item Critical thinking about AI,semantic,keep,Represents thinking/questioning
slides/week1/lecture.tex,79,🔬,list item Research applications,semantic,keep,Represents research
slides/week1/lecture.tex,85,🎯,alertblock This course is experiential!,semantic,keep,Represents focus/target
slides/week1/lecture.tex,90,📚,frame title Course Structure,decorative,remove,Decorates heading
slides/week1/lecture.tex,105,📝,list item 5 Problem Sets,semantic,keep,Represents writing/assignments
slides/week1/lecture.tex,106,🎓,list item Final Project,semantic,keep,Represents graduation/education
slides/week1/lecture.tex,123,🌟,frame title The Big Questions,decorative,remove,Decorates heading
slides/week1/lecture.tex,144,🤖💭,frame title Discussion: Is ChatGPT Conscious?,semantic,keep,Represents AI + thought combination
slides/week1/lecture.tex,164,🧠,frame title What is Consciousness?,decorative,remove,Decorates heading - brain already implied by topic
slides/week1/lecture.tex,187,💡,frame title The Hard Problem,semantic,keep,Represents insight/idea
slides/week1/lecture.tex,206,❌,list item Completely different biology,semantic,keep,Represents negation in comparison
slides/week1/lecture.tex,207,❌,list item No shared evolutionary history,semantic,keep,Represents negation
slides/week1/lecture.tex,208,✅,list item Can produce human-like behavior,semantic,keep,Represents affirmation
slides/week1/lecture.tex,209,❓,list item Does the substrate matter?,semantic,keep,Represents question
slides/week1/lecture.tex,213,📊,frame title Current Scientific Consensus,decorative,remove,Decorates heading
slides/week1/lecture.tex,238,🗣️💭,frame title Language and Thought,semantic,keep,Represents speech + thought
slides/week1/lecture.tex,265,🧠,frame title Evidence: The Language Network,decorative,remove,Repeats brain concept
slides/week1/lecture.tex,291,👁️,frame title Evidence: Language Shapes Perception,semantic,keep,Represents visual perception
slides/week1/lecture.tex,317,🤖,frame title So What About LLMs?,decorative,remove,Already established robot emoji usage
slides/week1/lecture.tex,329,✅,list item LLMs are very good at language patterns,semantic,keep,Represents affirmation
slides/week1/lecture.tex,330,❓,list item LLMs may have some internal representations,semantic,keep,Represents uncertainty
slides/week1/lecture.tex,331,❌,list item LLMs lack grounding,semantic,keep,Represents negation
slides/week1/lecture.tex,332,❌,list item LLMs don't have persistent goals,semantic,keep,Represents negation
slides/week1/lecture.tex,333,❌,list item No evidence of phenomenal consciousness,semantic,keep,Represents negation
slides/week1/lecture.tex,341,💻,frame title How Do Computers Process Language?,decorative,remove,Decorates heading
slides/week1/lecture.tex,362,🔧,frame title Basic String Manipulation,decorative,remove,Decorates heading
slides/week1/lecture.tex,389,🎯,frame title More Complex Patterns,decorative,remove,Decorates heading
slides/week1/lecture.tex,411,🔄,frame title Substitutions: Pre and Post,decorative,remove,Decorates heading
slides/week1/lecture.tex,438,💪,frame title The Power of Simple Patterns,decorative,remove,Decorates heading
slides/week1/lecture.tex,463,🎭,frame title ELIZA: A Revolutionary Program,semantic,keep,Represents theater/acting - relevant to simulation
slides/week1/lecture.tex,492,🔧,frame title How ELIZA Worked,decorative,remove,Decorates heading
slides/week1/lecture.tex,512,💬,frame title Example ELIZA Conversation,semantic,keep,Represents conversation
slides/week1/lecture.tex,534,😮,frame title The ELIZA Effect,semantic,keep,Represents surprise/realization
slides/week1/lecture.tex,557,⚠️,frame title Weizenbaum's Warning,semantic,keep,Represents warning/caution
slides/week1/lecture.tex,582,📈,frame title From ELIZA to Modern LLMs,decorative,remove,Decorates heading
slides/week1/lecture.tex,617,🎯,frame title Why Start with ELIZA?,decorative,remove,Decorates heading
slides/week1/lecture.tex,638,🛠️,frame title Assignment 1: Build ELIZA,semantic,keep,Represents tools/building
slides/week1/lecture.tex,657,📋,frame title Assignment Details,decorative,remove,Decorates heading
slides/week1/lecture.tex,691,💡,frame title Tips for Success,semantic,keep,Represents ideas/tips
slides/week1/lecture.tex,710,🎓,frame title Learning Objectives,decorative,remove,Decorates heading
slides/week1/lecture.tex,714,✅,list item Understand basic NLP,semantic,keep,Represents completion/check
slides/week1/lecture.tex,715,✅,list item Master regular expressions,semantic,keep,Represents completion/check
